,city,job_title,company_name,location,summary,rating
1,Raleigh,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
2,Raleigh,AbInitio Developer,Infosys Limited,"Raleigh, NC",Experience in preparing test scripts and test cases to validate data and maintaining data quality.,3.9
3,Raleigh,Informatica Developer,Infosys Limited,"Raleigh, NC",Experience in preparing test scripts and test cases to validate data and maintaining data quality.,3.9
4,Raleigh,Big Data Developer,Credit Suisse,N/A,"Build and optimize ‘big data’ data pipelines, architectures and data sets.",3.9
5,Raleigh,"Associate, Low Code Developer",KPMG,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world.",4.0
6,Raleigh,UX Research Intern,Lenovo,N/A,Detail-oriented with the ability to be pragmatic and keep the ‘big picture’ in mind.,3.9
7,Raleigh,Data Architect,Random Bit,N/A,Transactional data store data modelling design using relational and document data patterns.,N/A
8,Raleigh,Senior Customer Support Engineer,Celonis,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner.",N/A
9,Raleigh,FinOps BI Developer/Analyst,Pearson,N/A,"Respond to ad hoc data queries requests from business units with timely, accurate, and reliable data presented in an easy-to-understand fashion providing input…",3.7
10,Raleigh,Senior Customer Support Engineer,Celonis SE,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner.",N/A
11,Raleigh,Business Intelligence & Analytics Developer,North Carolina State University,N/A,"Coordinating with data engineers and systems analysts to build data environments providing data identified by data analysts, data integrators and subject matter…",4.2
12,Raleigh,SalesForce Developer,IQVIA,N/A,"12-15 years of experience in data modelling, data architecture in enterprise application with multiple databases or data lake.",3.8
13,Raleigh,Data Engineer - Experience Management,Deloitte,N/A,"Vet, type check, transform data sources before consumption by data scientists.",4.0
14,Raleigh,Machine Learning Engineer,Bandwidth,N/A,"Collaborate with software developers, data platform engineers and data analysts to prototype, develop and deploy of machine learning models.",3.9
15,Raleigh,"Manager, Cloud Application Developer",KPMG,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world.",4.0
16,Boston,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
17,Boston,Big Data Developer (Azure) - Deloitte - (Remote / Contract),Experfy,"Boston, MA",Design big data batch processing and interactive solutions.,N/A
18,Boston,"Spark and Scala Software Engineers, Junior to Director level - Boston big data",The Bivium Group,"Boston, MA","MUST HAVE Spark/Scala production experience AND have worked on big data, ai, nlp or healthcare analytics.",N/A
