,city,job_title,company_name,location,summary,rating
1,Raleigh,Senior Data Center Engineer (Automation),Altran,"Morrisville, NC 27560",To move to an Infrastructure as Code method for our data centers.,N/A
2,Raleigh,"Dev Ops Data Engineer - Research Triangle Park, NC",BASF Corporation,"Research Triangle Park, NC 27709",You will play a key role in the harmonization of data capabilities and data solutions across the global AP regions/countries.,4.1
3,Raleigh,"Dev Ops Data Engineer - Research Triangle Park, NC",BASF,"Research Triangle Park, NC 27709",You will play a key role in the harmonization of data capabilities and data solutions across the global AP regions/countries.,4.1
4,Raleigh,Associate Data Engineer,SalesPage Technologies,United States,"Innovating on new data processing techniques to improve accuracy, including data science techniques.",N/A
5,Raleigh,Data Engineer,ProVantage Corporate Solutions,"Raleigh, NC",Design and consult on a big data project for our new product.,3.2
6,Raleigh,Data Engineer,Piper Companies,N/A,"Introduce and maintain data platforms, data governance and data security capabilities and documentation including establishing roadmaps.",4.5
7,Raleigh,Big Data Engineer,DISYS,"Cary, NC","Core development experience in Java, with significant exposure to Scala; proficiency in SQL (PL/SQL) and data modelling.",3.5
8,Raleigh,Data Engineer,Cisco Systems,N/A,Use a variety of tools to extract and analyze customer and market data Report your findings with data visualizations that are easy to understand.,4.1
9,Raleigh,Data Engineer - Data Warehouse - Entry Level,Pearson,N/A,"Building required data pipelines for optimal extraction, transformation, and loading of data from various data sources using Cloud and SQL technologies and…",3.7
10,Raleigh,Data Engineer,PennyMac,N/A,"The Data Engineer will support database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is…",3.0
11,Raleigh,"Data Ops Engineer, ENTRY LEVEL",Pearson,N/A,"Develop and maintain operational administration solutions, system/data backup, disaster recovery, and security/performance monitoring.",3.7
12,Raleigh,Data Engineer,IBM,N/A,Perform data analysis to validate data quality.,3.9
13,Raleigh,Data Engineer- 100% Remote,Advanced Tech Placement,N/A,"The ideal candidate is an experienced data engineer with strong Python skills, who enjoys optimizing data systems and building internal data pipelines/APIs from…",N/A
14,Raleigh,Cloud Data Services Solutions Engineer,NetApp,N/A,The Cloud Data Services SE position is a pre-sales role supporting the sales of the CDS portfolio.,4.1
15,Raleigh,Data Engineer - 303426,Procom,"Durham, NC 27713",Collaborate with data engineers to ensure data delivery.,3.6
16,Boston,Data Science Engineer - Pharma Manufacturig Sci,Takeda Pharmaceuticals,N/A,Experience working with automated data extraction.,3.8
17,Boston,Entry Level Data Engineer (AI Applications),IBM,N/A,Working with others to design new ways of ingesting data that makes it faster and easier.,3.9
18,Boston,Data Engineer (C2),Clarity Innovations,N/A,Experience with MPP data warehouses.,N/A
19,Boston,Data Engineer,Oxfam America,N/A,Design data integrations across constituent data platforms (CDPs) and reporting solutions.,N/A
20,Boston,Data Engineer,Intone Networks,N/A,MUSTS: * 5+ years of in-cloud technologies including cloud databases and ETL tools * 2+ years of experience in building data pipeline with cloud ‘big data’…,4.2
21,Boston,Data Engineer - Personalization (Remote Eligible - Americas),Spotify,N/A,"You are knowledgeable about data modeling, data access, and data storage techniques.",4.3
22,Boston,Data Engineer,Uplight,N/A,Developing data pipelines to transform and process data between systems.,4.3
23,Boston,"Data Engineer (EDW, Data Analytics Office)",Mass General Brigham(PHS),N/A,"Familiarity with data engineering, data governance and data quality principles.",3.9
24,Boston,"Data Engineer, Health",Syneos Health Commercial Solutions,N/A,The communications research group at Syneos Health is looking for a data engineer with experience working with healthcare or media data sets.,3.9
25,Boston,Data Engineer,ERT,N/A,Keep up to date with advances in big data technologies and run pilots to design the data architecture to scale with the increased data volume using AWS.,3.2
26,Boston,Data Engineer (Collection),Recorded Future,N/A,"Build, improve, and take ownership of harvesters.",N/A
27,Boston,Data Engineer,"Commonwealth Equity Services, Inc.",N/A,Fulfilling data requests when the data elements are not yet built in the data warehouse.,N/A
28,Boston,Clinical Data Engineer,ERT,N/A,"Architect data flows, sequence diagrams and data pipeline specifications for engineers to execute development of their components.",3.2
29,Boston,Data Engineer,"Zipcar, Inc.",N/A,"Create and maintain data models, data catalogs, and data security.",3.6
30,Boston,Data Engineer 2,Kagr Llc,N/A,Load data into a cloud data warehouse as projects dictate.,N/A
31,Portland,Data Engineer,Perfect Company,"Vancouver, WA",Nothing_found,N/A
32,Portland,Data Engineer,North Highland,"Portland, OR",Nothing_found,3.5
33,Portland,Data Engineer - Azure,OmniData Insights,"Portland, OR 97201 (Homestead area)",Nothing_found,N/A
34,Portland,Data Engineer,Gametime,"Portland, OR",Nothing_found,N/A
35,Portland,Associate Data Engineer,SalesPage Technologies,United States,Nothing_found,N/A
36,Portland,Sr. Data Engineer,"BizTek People, Inc.","Portland, OR 97204 (Downtown area)",Nothing_found,4.8
37,Portland,Data Engineer,VanderHouwen,"Hillsboro, OR",Nothing_found,3.8
38,Portland,Lead Data Engineer,Tech Talent Link,"Beaverton, OR 97008 (Greenway area)",Nothing_found,N/A
39,Portland,Data Center Engineer,Insight Global,"Hillsboro, OR",Nothing_found,4.0
40,Portland,Data Operations Engineer PSJH,Providence,N/A,Nothing_found,3.9
41,Portland,Data Analyst/Data Scientist Engineer (Portland / Remote) — Cascade Data Labs,Kin + Carta,N/A,Nothing_found,N/A
42,Portland,Data Engineer,Nectar Markets,N/A,Nothing_found,3.4
43,Portland,NextGen Data Engineer,BICP,N/A,Nothing_found,N/A
44,Portland,Senior Data Engineer,VanderHouwen,"Hillsboro, OR",Nothing_found,3.8
45,Portland,Cloud Support Engineer I - Big Data,"Amazon Web Services, Inc.",N/A,Nothing_found,3.5
46,San+Diego,"Software Engineer 2, Big Data",Intuit,"San Diego, CA 92101",Nothing_found,4.2
47,San+Diego,"Staff Software Engineer, Big Data",Intuit,"San Diego, CA 92101",Nothing_found,4.2
48,San+Diego,Data and Analytics - Release Train Engineer,ASML,"San Diego, CA 92127 (Rancho Bernardo area)","Technically savvy, strong focus on (big) data & analytics;",3.9
49,San+Diego,Data Engineer,Itility,"San Diego, CA","As Hadoop data engineer, you are responsible for the functional part of provisioning data - eg building data inserted pipelines and data connectors.",N/A
50,San+Diego,Associate Data Engineer,SalesPage Technologies,United States,"Innovating on new data processing techniques to improve accuracy, including data science techniques.",N/A
51,San+Diego,Data Engineer - San Diego,Eastridge Workforce Solutions,"San Diego, CA 92108",Minimum of five (5) years in developing large scale data processing/data storage/data distribution systems.,3.9
52,San+Diego,Data Engineer,CyberCoders,"San Diego, CA 92123","Continue to enhance data systems to efficiently intake, transform, and store massive data sets.",3.3
53,San+Diego,Sr. Data Engineer,CyberCoders,"San Diego, CA 92123",Create data flow guideline and meet requirements.,3.3
54,San+Diego,JUNIOR Data Engineer,CCS Global Tech,N/A,"In this 3-month program, we prepare young professionals in high-demand technologies related to business intelligence and data analytics.",3.0
55,San+Diego,Data Engineer,Sony Interactive Entertainment PlayStation,N/A,You will be expected to build a deep understanding of PlayStation data and help data consumers drive business value from the data.,3.7
56,San+Diego,Intern - Data Engineer,Teradata,N/A,Use educational background in data engineering and perform data mining analysis.,3.8
57,San+Diego,Staff Data Engineer,Illumina,N/A,"Strong understanding of data, data security, overall governance on SEC/ FDA compliant data.",3.6
58,San+Diego,Data Engineer,Guild Mortgage Company LLC,N/A,Strong data governance skills to ensure highest quality of data is made available for data analysis and accuracy in reporting.,N/A
